"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Kazakhstan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Kazakhstan","  30.04","  30.00","  31.14","  32.65","  32.62","  34.10","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"3","Kazakhstan","3.131462e+00","3.101920e+00","3.042836e+00","3.013294e+00","3.131462e+00","2.954210e+00","Source","renewable ressources","Groundwater stress","Asia","25","%"
"4","Kazakhstan"," 0.31"," 0.31"," 0.31"," 0.31"," 0.31"," 0.31","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"5","Kazakhstan","15.6374637","16.3018935","17.1900535","17.2311540","16.7218645","15.9609017","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"6","Kazakhstan","   12.11","    4.96","    6.82","    7.15","    3.06","    0.67","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.3045","0.5% compare to 2007 in CO2-eq tonnes"
"7","Kazakhstan",NA,NA,NA,NA,NA," 55.60","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia","100","%"
"8","Kazakhstan","62.63272","62.62361","62.61820","62.61503","62.60809","62.59702","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Kazakhstan","30.83","30.66","29.04","28.46","26.50","26.50","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"10","Kazakhstan"," 95.72104"," 96.07839"," 96.43536"," 96.54247"," 96.65082"," 96.76036","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
"11","Kazakhstan","50.00000","50.00000","37.50000","37.50000","37.50000","37.50000","Human health and welfare","landscape and amenity","status of world heritage sites","Asia","100","% Good status"
