"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Kenya","9.104646e+01","9.181052e+01","9.257458e+01","9.333864e+01","9.333864e+01","9.333864e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Kenya","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Kenya","  26.55","  33.24","  33.24","  33.24","  33.24","  33.24","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Kenya","0.000000e+00","1.514286e+01","1.514286e+01","1.514286e+01","1.514286e+01","1.514286e+01","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Kenya"," 5.49"," 5.49"," 5.49"," 5.49"," 5.49"," 5.49","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Kenya"," 1.9429098"," 2.0531036"," 1.9369946"," 1.9359662"," 2.1652160"," 2.1203803","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Kenya","   20.60","   15.07","    5.66","    4.49","    6.36","    6.44","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.2425","0.5% compare to 2007 in CO2-eq tonnes"
"8","Kenya"," 15.25"," 15.25"," 15.25"," 15.25"," 15.25"," 61.85","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"9","Kenya"," 42.2"," 42.2"," 42.2"," 42.2"," 42.2"," 90.3","Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa","100","%"
"10","Kenya","71.03531","70.98767","70.92959","70.89195","70.91633","70.87275","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"11","Kenya","83.74","78.12","77.91","78.58","78.50","85.71","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"12","Kenya","12.50","12.53","12.51","12.58","12.52","12.52","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"13","Kenya","33.33333","33.33333","33.33333","33.33333","33.33333","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
