"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Kiribati","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","state of forest reccources","Oceania","100","%"
"2","Kiribati","86.67000","86.67000","86.67000","86.67000","86.67000","86.67000","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania","100","% Sus fish stock"
"3","Kiribati",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania","25","%"
"4","Kiribati"," 1.05"," 1.05"," 1.05"," 1.05"," 1.05"," 1.05","Source","non-renewables ressources","area with tolerable erosion","Oceania","2","Tonnes/hectare/year"
"5","Kiribati"," 0.7637892"," 0.7865306"," 0.8423797"," 0.8346120"," 0.8458728"," 0.8398345","Sink","global System","CO2 emissions [tonnes per capita]","Oceania","2.88","tonnes per year per capita"
"6","Kiribati","    0.03","    0.02","    0.02","    0.01","    0.02","    0.00","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"," 0.0005","0.5% compare to 2007 in CO2-eq tonnes"
"7","Kiribati",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania","100","%"
"8","Kiribati"," 7.31"," 7.64"," 7.63"," 7.67"," 7.62"," 7.62","Human health and welfare","human health","Concentrations of PM2.5","Oceania","5","µg/m3"
"9","Kiribati"," 13.32606"," 13.59826"," 13.87049"," 14.14293"," 14.41549"," 14.68781","Human health and welfare","human health","Drinking water contamination","Oceania","100","% without E.coli"
"10","Kiribati","50.00000","50.00000","50.00000","50.00000","50.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Oceania","100","% Good status"
