"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Latvia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Latvia","73.47000","73.47000","79.31000","79.31000","79.31000","79.31000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Latvia","   1.04","   1.10","   1.07","   1.08","   1.05","   1.07","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Latvia","1.702128e+00","1.702128e+00","1.702128e+00","1.914894e+00","1.702128e+00","1.702128e+00","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Latvia"," 0.13"," 0.13"," 0.13"," 0.13"," 0.13"," 0.13","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Latvia"," 6.2819072"," 6.3067153"," 6.2917295"," 6.6256621"," 6.5887591"," 6.0345469","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Latvia","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Latvia"," 63.55"," 63.55"," 63.55"," 63.55"," 63.55"," 64.85","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","Latvia","100.0","100.0","100.0","100.0","100.0","100.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"10","Latvia","85.80321","85.76730","85.74266","85.69711","85.67142","85.64621","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"11","Latvia","73.10","71.71","71.50","70.57","71.86","71.78","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"12","Latvia","13.40","12.15","11.46","12.84","12.02","12.02","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"13","Latvia"," 98.89374"," 99.02666"," 99.15976"," 99.29301"," 99.41268"," 99.46490","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
