"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Lebanon","1.005604e+02","1.009903e+02","1.014203e+02","1.018503e+02","1.022802e+02","1.027102e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Lebanon","37.84000","37.84000","37.50000","37.50000","37.50000","37.50000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Lebanon","  58.79","  58.79","  58.79","  58.79","  58.79","  58.79","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Lebanon","3.625000e+01","3.625000e+01","3.625000e+01","3.625000e+01","3.625000e+01","3.625000e+01","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Lebanon"," 8.64"," 8.64"," 8.64"," 8.64"," 8.64"," 8.64","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Lebanon"," 5.1672223"," 5.4831238"," 5.8952690"," 5.7822363"," 6.0410595"," 5.7215548","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Lebanon","   65.86","   58.86","   55.15","   51.62","   43.82","   35.10","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.0990","0.5% compare to 2007 in CO2-eq tonnes"
"8","Lebanon"," 25.00"," 25.00"," 25.00"," 25.00"," 25.00",NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia","100","%"
"9","Lebanon","100.0","100.0","100.0","100.0","100.0",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Asia","100","%"
"10","Lebanon","51.24642","50.75591","49.43916","49.45936","49.47973","48.99952","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"11","Lebanon","56.82","62.11","63.19","63.63","62.84","60.79","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"12","Lebanon","24.49","24.11","23.53","24.08","24.23","24.23","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"13","Lebanon"," 46.99136"," 47.17497"," 47.35857"," 47.54217"," 47.70000"," 47.70000","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
