"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Lesotho","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Lesotho","   2.57","   2.57","   2.57","   2.57","   2.57","   2.57","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"3","Lesotho",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"4","Lesotho","14.58","14.58","14.58","14.58","14.58","14.58","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"5","Lesotho"," 1.3061102"," 1.2982678"," 1.3883740"," 1.3508683"," 1.3223944"," 1.2865485","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"6","Lesotho","    0.75","    0.71","    0.70","    0.63","    0.56","    0.46","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0100","0.5% compare to 2007 in CO2-eq tonnes"
"7","Lesotho"," 16.65"," 16.65"," 16.65"," 16.65"," 16.65","100.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"8","Lesotho","  0.0","  0.0","  0.0","  0.0","  0.0",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa","100","%"
"9","Lesotho","57.19263","57.19302","57.25366","57.39727","57.73510","57.72440","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"10","Lesotho","17.65","17.42","17.75","17.80","17.60","17.60","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"11","Lesotho"," 56.51890"," 56.78549"," 57.05422"," 57.32742"," 57.60472"," 57.88693","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
"12","Lesotho","50.00000","50.00000","50.00000","50.00000","50.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
