"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Liberia","9.145095e+01","9.109474e+01","9.073853e+01","9.038232e+01","9.002611e+01","8.966990e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Liberia","57.14000","57.14000","57.14000","57.14000","57.14000","57.14000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Liberia","   0.26","   0.26","   0.26","   0.26","   0.26","   0.26","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Liberia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Liberia"," 0.83"," 0.83"," 0.83"," 0.83"," 0.83"," 0.83","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Liberia"," 0.8642586"," 0.9049675"," 0.8783856"," 0.9141627"," 0.9263157"," 0.9224043","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Liberia","    3.13","    2.84","    2.31","    1.78","    0.78","    1.58","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0095","0.5% compare to 2007 in CO2-eq tonnes"
"8","Liberia",NA,NA,NA,NA,NA," 66.65","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"9","Liberia","74.29028","74.06544","73.81275","73.54605","73.25414","72.95029","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"10","Liberia","79.31","83.60","83.84","75.96","70.57","69.83","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"11","Liberia","37.68","35.72","35.98","35.68","35.80","35.80","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
