"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Libya","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Libya","37.84000","37.84000","37.50000","37.50000","37.50000","37.50000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Libya"," 817.14"," 817.14"," 817.14"," 817.14"," 817.14"," 817.14","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Libya","9.250000e+02","9.250000e+02","9.250000e+02","9.250000e+02","9.250000e+02","9.250000e+02","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Libya"," 0.42"," 0.42"," 0.42"," 0.42"," 0.42"," 0.42","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Libya","12.1953244","11.9691783","13.5793727","14.2086713","14.4283953","10.8046831","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Libya","  119.81","  118.36","  117.68","   76.75","   76.65","   75.00","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.1975","0.5% compare to 2007 in CO2-eq tonnes"
"8","Libya","99.13328","99.11274","99.09856","99.07616","99.06483","99.04803","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Libya","67.72","65.85","64.83","66.48","63.88","64.69","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Libya","29.07","30.07","28.42","30.41","29.84","29.84","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
