"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Lithuania",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Lithuania","73.47000","73.47000","79.31000","79.31000","79.31000","79.31000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Lithuania","   2.75","   2.22","   1.87","   1.83","   1.83","   1.83","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Lithuania","1.272727e+01","1.272727e+01","1.272727e+01","1.363636e+01","1.363636e+01","1.363636e+01","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Lithuania"," 0.19"," 0.19"," 0.19"," 0.19"," 0.19"," 0.19","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Lithuania"," 8.1177911"," 8.1457990"," 8.3488236"," 8.3056989"," 8.4735696"," 8.3704603","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Lithuania","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Lithuania"," 99.65"," 99.65"," 99.65"," 99.65"," 99.65"," 98.85","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","Lithuania","66.31603","66.17533","66.05617","65.89913","65.76593","65.70913","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"10","Lithuania","71.59","69.74","69.50","69.22","70.83","70.69","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"11","Lithuania","11.44","10.30"," 9.91","11.12","10.37","10.37","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"12","Lithuania"," 93.66101"," 95.89729"," 97.54207"," 97.99053"," 98.00147"," 98.01335","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
