"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Madagascar","9.169841e+01","9.160154e+01","9.150468e+01","9.140708e+01","9.131021e+01","9.121335e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Madagascar","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Madagascar","  11.26","  11.26","  11.26","  11.26","  11.26","  11.26","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Madagascar","3.636364e-02","3.636364e-02","3.636364e-02","3.636364e-02","3.636364e-02","3.636364e-02","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Madagascar"," 7.92"," 7.92"," 7.92"," 7.92"," 7.92"," 7.92","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Madagascar"," 1.3025191"," 1.2932884"," 1.2535602"," 1.3483252"," 1.3501627"," 1.3219405","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Madagascar","   14.03","   11.83","   10.73","   10.40","    9.63","    5.50","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0105","0.5% compare to 2007 in CO2-eq tonnes"
"8","Madagascar"," 94.35"," 94.35"," 94.35"," 94.35"," 94.35"," 94.35","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"9","Madagascar"," 81.6"," 81.6"," 81.6"," 81.6"," 81.6"," 81.6","Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa","100","%"
"10","Madagascar","57.41535","57.38393","57.32656","57.29253","57.24373","57.19616","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"11","Madagascar","84.26","80.52","81.24","80.51","79.09","78.74","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"12","Madagascar","16.42","16.52","15.86","16.14","16.02","16.02","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"13","Madagascar"," 23.93146"," 24.43979"," 24.95186"," 25.46770"," 25.98642"," 26.50893","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
"14","Madagascar","50.00000","50.00000","37.50000","37.50000","37.50000","37.50000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
