"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Malaysia","9.482804e+01","9.409920e+01","9.385512e+01","9.361055e+01","9.336647e+01","9.312190e+01","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Malaysia","77.84500","77.84500","73.09000","73.09000","73.09000","73.09000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Malaysia","   3.19","   3.36","   3.44","   3.44","   3.44","   3.44","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Malaysia","1.406250e-01","1.406250e-01","1.406250e-01","1.406250e-01","1.406250e-01","1.406250e-01","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Malaysia"," 1.95"," 1.95"," 1.95"," 1.95"," 1.95"," 1.95","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Malaysia","10.4381358","10.1727746"," 9.7243366","10.1674340","10.3253373"," 9.9263670","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Malaysia","  418.50","  318.62","  235.78","  248.34","  214.20","  228.41","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 2.0685","0.5% compare to 2007 in CO2-eq tonnes"
"8","Malaysia","78.35220","78.27176","78.19768","78.13572","78.08688","78.02940","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Malaysia","78.90","76.38","75.72","75.03","74.57","74.42","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Malaysia","21.44","22.89","20.38","20.50","21.52","21.52","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","Malaysia"," 97.26919"," 97.31187"," 97.35462"," 97.39752"," 97.44049"," 97.45445","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
"12","Malaysia","62.50000","62.50000","62.50000","62.50000","62.50000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Asia","100","% Good status"
