"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Maldives","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Maldives","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Maldives","  15.67","  15.67","  15.67","  15.67","  15.67","  15.67","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Maldives",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Maldives"," 1.23"," 1.23"," 1.23"," 1.23"," 1.23"," 1.23","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Maldives"," 3.8714763"," 3.9065815"," 3.8340794"," 4.1704849"," 4.6282068"," 4.5692951","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Maldives","    2.45","    2.40","    2.40","    1.21","    1.21","    0.09","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.0220","0.5% compare to 2007 in CO2-eq tonnes"
"8","Maldives",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Maldives","82.74","82.60","82.48","82.35","82.23","82.11","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Maldives","12.23","13.66","12.52","12.47","13.00","13.00","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
