"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Mali","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Mali","   8.00","   8.00","   8.00","   8.00","   8.00","   8.00","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"3","Mali","3.000000e-01","3.000000e-01","3.000000e-01","3.000000e-01","3.000000e-01","3.000000e-01","Source","renewable ressources","Groundwater stress","Africa","25","%"
"4","Mali"," 2.05"," 2.05"," 2.05"," 2.05"," 2.05"," 2.05","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"5","Mali"," 1.8983970"," 1.9996823"," 2.0556196"," 2.0935084"," 2.1071798"," 2.0980005","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"6","Mali","   10.12","    9.63","    9.08","    9.08","    7.54","    7.54","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0530","0.5% compare to 2007 in CO2-eq tonnes"
"7","Mali",NA,NA,NA,NA,NA," 38.90","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"8","Mali","86.80727","86.77157","86.72879","86.69773","86.66238","86.62956","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Mali","40.77","40.08","40.34","39.82","38.55","38.55","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"10","Mali","25.00000","25.00000","25.00000","25.00000","25.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
