"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Mauritania","7.225669e+01","7.110072e+01","6.995325e+01","6.878453e+01","6.763706e+01","6.646834e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Mauritania","57.14000","57.14000","57.14000","57.14000","57.14000","57.14000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Mauritania","  13.25","  13.25","  13.25","  13.25","  13.25","  13.25","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Mauritania",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Mauritania"," 1.95"," 1.95"," 1.95"," 1.95"," 1.95"," 1.95","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Mauritania"," 3.3845685"," 3.3467333"," 3.5570602"," 3.5252122"," 3.5405326"," 3.4835477","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Mauritania","   18.43","   18.15","   15.80","   15.05","   13.91","   13.19","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0070","0.5% compare to 2007 in CO2-eq tonnes"
"8","Mauritania","88.37574","88.38971","88.40730","88.42627","88.44843","88.46952","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Mauritania","75.32","73.94","73.50","71.78","71.76","71.16","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Mauritania","43.68","42.43","43.42","42.58","41.98","41.98","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"11","Mauritania","25.00000","25.00000","25.00000","25.00000","25.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
