"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Mauritius","9.306055e+01","9.303625e+01","9.391097e+01","9.400816e+01","9.410536e+01","9.420255e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Mauritius","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Mauritius","  22.25","  22.54","  22.17","  21.48","  21.63","  22.06","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Mauritius","1.685393e+01","1.685393e+01","1.573034e+01","1.685393e+01","1.685393e+01","1.685393e+01","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Mauritius","24.83","24.83","24.83","24.83","24.83","24.83","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Mauritius"," 4.4603997"," 4.5443026"," 4.7363256"," 4.7232145"," 4.8191807"," 4.5820674","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Mauritius","    6.79","    6.04","    5.84","    6.84","    4.75","    2.03","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0430","0.5% compare to 2007 in CO2-eq tonnes"
"8","Mauritius","50.65767","50.60588","50.55128","50.49869","50.44622","50.43545","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Mauritius","83.14","83.20","82.86","77.12","74.47","74.48","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Mauritius","10.75","10.73","10.35","10.45","10.48","10.48","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
