"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Mexico","9.425937e+01","9.407776e+01","9.389629e+01","9.371468e+01","9.353321e+01","9.335160e+01","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Mexico","73.50500","73.50500","74.03500","74.03500","74.03500","74.03500","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Mexico","  32.13","  32.48","  32.95","  44.46","  44.72","  44.82","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Mexico","2.220667e+01","2.254667e+01","2.292667e+01","2.322667e+01","2.340000e+01","2.354667e+01","Source","renewable ressources","Groundwater stress","America","25","%"
"5","Mexico"," 5.60"," 5.60"," 5.60"," 5.60"," 5.60"," 5.60","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Mexico"," 6.5595816"," 6.5673478"," 6.5269589"," 6.3486377"," 6.2077965"," 5.5740053","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Mexico","  660.37","  519.66","  414.22","  321.07","  234.53","  156.47","Sink","global System","Consumption of HCFC in ODP per capita","America"," 7.1235","0.5% compare to 2007 in CO2-eq tonnes"
"8","Mexico",NA,NA,NA,NA,NA," 55.70","Sink","critical ecosystems","Proportion of surface water in good chemical status","America","100","%"
"9","Mexico","74.24038","74.22205","74.19407","74.16992","74.14123","74.08223","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"10","Mexico","85.51","85.33","80.39","79.42","79.04","79.92","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"11","Mexico","21.80","21.21","20.44","18.75","17.83","17.83","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
"12","Mexico"," 42.31229"," 42.49678"," 42.67933"," 42.84912"," 42.93896"," 43.02628","Human health and welfare","human health","Drinking water contamination","America","100","% without E.coli"
"13","Mexico","37.50000","37.50000","35.71429","35.71429","35.71429","37.50000","Human health and welfare","landscape and amenity","status of world heritage sites","America","100","% Good status"
