"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Morocco","1.035950e+02","1.038702e+02","1.040853e+02","1.042675e+02","1.044588e+02","1.046484e+02","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Morocco","47.49000","47.49000","47.32000","47.32000","47.32000","47.32000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Morocco","  50.75","  50.75","  50.75","  50.75","  50.75","  50.75","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Morocco","2.320000e+01","2.320000e+01","2.320000e+01","2.320000e+01","2.320000e+01","2.320000e+01","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Morocco"," 5.65"," 5.65"," 5.65"," 5.65"," 5.65"," 5.65","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Morocco"," 2.8035726"," 2.7847984"," 2.8722951"," 2.9114425"," 3.0688184"," 2.9169402","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Morocco","   16.88","   26.88","   32.64","   23.24","   27.49","   25.26","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.1660","0.5% compare to 2007 in CO2-eq tonnes"
"8","Morocco"," 81.00"," 81.00"," 81.00"," 81.00"," 81.00",NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"9","Morocco"," 76.3"," 76.3"," 76.3"," 76.3"," 76.3",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa","100","%"
"10","Morocco","74.61949","74.59423","74.54831","74.51624","74.46579","74.43975","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"11","Morocco","68.41","65.46","65.95","65.91","65.81","66.32","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"12","Morocco","13.48","13.55","13.91","13.58","13.44","13.44","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"13","Morocco"," 79.41592"," 80.50771"," 81.57725"," 82.62472"," 83.65011"," 84.65381","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
