"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Mozambique","8.790750e+01","8.718529e+01","8.667161e+01","8.624899e+01","8.565097e+01","8.513589e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Mozambique","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Mozambique","   1.75","   1.75","   1.75","   1.75","   1.75","   1.75","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Mozambique",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Mozambique"," 2.65"," 2.65"," 2.65"," 2.65"," 2.65"," 2.65","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Mozambique"," 1.0104574"," 1.0764747"," 1.1365569"," 1.1700618"," 1.0840489"," 1.0002029","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Mozambique","    7.15","    7.04","    5.03","    4.02","    3.58","    2.21","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0325","0.5% compare to 2007 in CO2-eq tonnes"
"8","Mozambique","66.87641","66.75609","66.61895","66.48332","66.35673","66.25136","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Mozambique","77.10","73.35","72.84","72.64","73.15","74.14","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Mozambique","16.68","16.43","16.26","16.68","16.45","16.45","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
