"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Myanmar","7.733300e+01","7.658603e+01","7.583906e+01","7.509210e+01","7.434513e+01","7.359816e+01","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Myanmar","73.08000","73.08000","68.63000","68.63000","68.63000","68.63000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Myanmar","   5.80","   5.80","   5.80","   5.80","   5.80","   5.80","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Myanmar","6.590258e-01","6.590258e-01","6.590258e-01","6.590258e-01","6.590258e-01","6.590258e-01","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Myanmar"," 4.62"," 4.62"," 4.62"," 4.62"," 4.62"," 4.62","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Myanmar"," 2.6031804"," 2.7005218"," 2.9646670"," 3.0450728"," 3.1450639"," 3.1720272","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Myanmar","    1.48","    3.34","    3.59","    3.37","    3.50","    2.04","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.0120","0.5% compare to 2007 in CO2-eq tonnes"
"8","Myanmar","80.28304","80.18680","80.07988","79.99116","79.90192","79.79614","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Myanmar","83.65","88.15","88.84","89.39","86.62","81.83","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Myanmar","26.53","29.25","25.93","26.04","27.16","27.16","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","Myanmar"," 55.40714"," 56.08707"," 56.76948"," 57.45449"," 58.14173"," 58.83109","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
