"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Namibia","8.040722e+01","7.959084e+01","7.877446e+01","7.795808e+01","7.714170e+01","7.632533e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Namibia","67.65000","67.65000","67.65000","67.65000","67.65000","67.65000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Namibia","   0.86","   0.86","   0.86","   0.86","   0.86","   0.86","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Namibia","6.190476e+00","6.190476e+00","6.190476e+00","6.190476e+00","6.190476e+00","6.190476e+00","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Namibia"," 2.41"," 2.41"," 2.41"," 2.41"," 2.41"," 2.41","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Namibia"," 5.2518558"," 5.5309514"," 5.2899613"," 5.1725232"," 5.1217793"," 4.9629475","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Namibia","    5.36","    3.76","    2.68","    1.71","    0.77","    0.74","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0590","0.5% compare to 2007 in CO2-eq tonnes"
"8","Namibia"," 72.85"," 72.85"," 72.85"," 72.85"," 72.85",NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"9","Namibia","100.0","100.0","100.0","100.0","100.0",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa","100","%"
"10","Namibia","77.04337","77.04935","77.05137","77.05624","77.04677","77.04576","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"11","Namibia","72.30","70.51","71.52","71.72","71.71","71.17","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"12","Namibia","11.88","11.90","11.98","11.88","11.81","11.81","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"13","Namibia","75.00000","75.00000","75.00000","75.00000","75.00000","75.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
