"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Netherlands","1.052150e+02","1.054832e+02","1.057543e+02","1.060225e+02","1.062936e+02","1.065618e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Netherlands","66.90500","66.90500","70.35500","70.35500","70.35500","70.35500","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Netherlands","  15.97","  15.23","  15.03","  16.37","  17.00","  16.80","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Netherlands","2.200000e+01","2.177778e+01","2.244444e+01","2.644444e+01","2.533333e+01","2.600000e+01","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Netherlands"," 0.17"," 0.17"," 0.17"," 0.17"," 0.17"," 0.17","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Netherlands","12.7875844","12.7679229","12.8815409","12.7000065","11.8565172","10.9506099","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Netherlands","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Netherlands"," 99.50"," 99.50"," 99.50"," 99.50"," 99.50"," 99.50","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","Netherlands"," 62.5"," 62.5"," 62.5"," 62.5"," 62.5"," 62.5","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"10","Netherlands","60.97752","60.96838","60.95623","60.93465","60.87711","60.85525","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"11","Netherlands","67.04","66.32","66.95","65.53","64.41","66.65","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"12","Netherlands","12.59","11.60","11.63","11.49","10.74","10.74","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"13","Netherlands"," 99.97739"," 99.97639"," 99.97540"," 99.97441"," 99.97341"," 99.97242","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"14","Netherlands","75.00000","75.00000","75.00000","75.00000","75.00000","75.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
