"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","New Zealand","1.045278e+02","1.045293e+02","1.045728e+02","1.046185e+02","1.047285e+02","1.050159e+02","Source","renewable ressources","state of forest reccources","Oceania","100","%"
"2","New Zealand","85.71000","85.71000","83.87000","83.87000","83.87000","83.87000","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania","100","% Sus fish stock"
"3","New Zealand","   8.05","   8.05","   8.05","   8.05","   8.05","   8.05","Source","renewable ressources","Surfacewater Stress","Oceania","25","% of stress"
"4","New Zealand",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania","25","%"
"5","New Zealand"," 2.94"," 2.94"," 2.94"," 2.94"," 2.94"," 2.94","Source","non-renewables ressources","area with tolerable erosion","Oceania","2","Tonnes/hectare/year"
"6","New Zealand","18.8979894","18.4325119","18.2865955","17.8309424","17.8589273","16.4220676","Sink","global System","CO2 emissions [tonnes per capita]","Oceania","2.88","tonnes per year per capita"
"7","New Zealand","    1.10","    0.00","    0.01","    0.00","    0.00","    0.00","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"," 0.1160","0.5% compare to 2007 in CO2-eq tonnes"
"8","New Zealand"," 93.60"," 93.60"," 93.60"," 93.60"," 93.60"," 60.25","Sink","critical ecosystems","Proportion of surface water in good chemical status","Oceania","100","%"
"9","New Zealand",NA,NA,NA,NA,NA,"  0.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Oceania","100","%"
"10","New Zealand","60.50045","60.50119","60.50804","60.51687","60.52561","60.52583","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania","100","%"
"11","New Zealand","79.28","77.97","77.61","77.48","77.47","77.61","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania","100","%"
"12","New Zealand"," 6.94"," 6.91"," 7.14"," 7.45"," 8.61"," 8.61","Human health and welfare","human health","Concentrations of PM2.5","Oceania","5","µg/m3"
"13","New Zealand"," 95.54066"," 96.86868"," 98.19670"," 99.52472","100.00000","100.00000","Human health and welfare","human health","Drinking water contamination","Oceania","100","% without E.coli"
"14","New Zealand","66.66667","66.66667","66.66667","66.66667","66.66667","66.66667","Human health and welfare","landscape and amenity","status of world heritage sites","Oceania","100","% Good status"
