"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Nicaragua","6.203098e+01","6.044351e+01","5.885604e+01","5.726856e+01","5.568109e+01","5.409362e+01","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Nicaragua","73.50500","73.50500","74.03500","74.03500","74.03500","74.03500","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Nicaragua","   2.42","   2.37","   2.32","   2.27","   2.22","   2.22","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Nicaragua",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America","25","%"
"5","Nicaragua","12.84","12.84","12.84","12.84","12.84","12.84","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Nicaragua"," 3.1144878"," 3.0841372"," 3.0327358"," 2.9488698"," 2.9708061"," 2.8378803","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Nicaragua","    5.70","    4.89","    4.22","    0.99","    2.97","    2.74","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.0140","0.5% compare to 2007 in CO2-eq tonnes"
"8","Nicaragua","63.35611","63.13830","62.92993","62.69063","62.43467","62.13114","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"9","Nicaragua","87.10","86.86","86.65","86.55","86.34","86.10","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"10","Nicaragua","20.61","19.56","18.44","17.24","16.00","16.00","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
"11","Nicaragua"," 72.58889"," 73.75464"," 74.85987"," 75.96418"," 77.06726"," 78.16785","Human health and welfare","human health","Drinking water contamination","America","100","% without E.coli"
