"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Niger","6.062730e+01","5.996782e+01","5.930835e+01","5.864887e+01","5.798939e+01","5.732991e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Niger","   7.34","   7.45","   6.75","  10.37","  11.02","  11.02","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"3","Niger","6.320000e+01","6.440000e+01","5.800000e+01","8.960000e+01","9.520000e+01","9.520000e+01","Source","renewable ressources","Groundwater stress","Africa","25","%"
"4","Niger"," 2.65"," 2.65"," 2.65"," 2.65"," 2.65"," 2.65","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"5","Niger"," 1.5750928"," 1.5843106"," 1.5846450"," 1.5970243"," 1.6171855"," 1.6198390","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"6","Niger","   13.02","   12.13","   11.85","   11.53","   10.61","   10.02","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0805","0.5% compare to 2007 in CO2-eq tonnes"
"7","Niger",NA,NA,NA,NA,NA," 60.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"8","Niger","84.22059","84.22067","84.21640","84.25227","84.30467","84.35438","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Niger","52.87","52.51","52.41","50.74","50.15","50.15","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"10","Niger","12.50000","12.50000","25.00000","25.00000","25.00000","12.50000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
