"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","North Macedonia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","North Macedonia","60.34000","60.34000","61.40000","61.40000","61.40000","61.40000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","North Macedonia","  20.83","  25.26","  38.69","  52.12","  38.70","  38.70","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","North Macedonia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","North Macedonia"," 3.61"," 3.61"," 3.61"," 3.61"," 3.61"," 3.61","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","North Macedonia"," 5.1159400"," 4.8971893"," 5.1766452"," 4.9602064"," 5.4299312"," 4.7195609","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","North Macedonia","    0.18","    0.27","    0.00","    0.26","    0.64","    0.37","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 0.0060","0.5% compare to 2007 in CO2-eq tonnes"
"8","North Macedonia","  6.25","  6.25","  6.25","  6.25","  6.25"," 70.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","North Macedonia","  0.0","  0.0","  0.0","  0.0","  0.0",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"10","North Macedonia","66.91747","67.00103","66.95675","66.92360","66.90495","67.01699","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"11","North Macedonia","29.51","28.23","29.26","30.06","25.17","25.17","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"12","North Macedonia"," 88.47086"," 87.21435"," 85.97483"," 84.75482"," 84.83339"," 84.92123","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"13","North Macedonia","25.00000","25.00000","25.00000","25.00000","25.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
