"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Oman","1.000000e+02","9.333333e+01","9.000000e+01","8.666667e+01","8.333333e+01","8.333333e+01","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Oman","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Oman"," 116.71"," 116.71"," 116.71"," 116.71"," 116.71"," 116.71","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Oman","1.176923e+02","1.176923e+02","1.176923e+02","1.176923e+02","1.176923e+02","1.176923e+02","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Oman","12.13","12.13","12.13","12.13","12.13","12.13","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Oman","27.5381683","27.2105895","26.2993180","27.0205386","27.2960314","27.2379469","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Oman","   22.30","   20.11","   17.43","   19.17","   17.90","   15.96","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.0975","0.5% compare to 2007 in CO2-eq tonnes"
"8","Oman",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Oman","79.81","79.09","78.17","78.14","78.68","74.60","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Oman","35.84","35.54","35.99","36.68","34.88","34.88","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","Oman"," 96.37111"," 97.11519"," 97.85286"," 98.58498"," 99.28559"," 99.70944","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
