"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Pakistan","7.961958e+01","7.831655e+01","7.794564e+01","7.710867e+01","7.627170e+01","7.543473e+01","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Pakistan","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Pakistan"," 120.79"," 122.55"," 122.67"," 118.24"," 108.65"," 116.31","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Pakistan","1.076545e+02","1.188545e+02","1.121273e+02","1.166182e+02","1.143818e+02","1.116909e+02","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Pakistan","13.26","13.26","13.26","13.26","13.26","13.26","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Pakistan"," 2.1442876"," 2.2653053"," 2.3521980"," 2.3033690"," 2.3200308"," 2.3303052","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Pakistan","  203.13","  216.00","  206.82","  190.19","  208.75","  122.21","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.9185","0.5% compare to 2007 in CO2-eq tonnes"
"8","Pakistan","86.67264","86.68046","86.69701","86.69751","86.70737","86.66624","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Pakistan","77.08","77.12","77.01","76.90","76.57","70.42","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Pakistan","55.90","53.65","51.98","56.50","50.13","50.13","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","Pakistan"," 36.20152"," 36.03370"," 35.86274"," 35.68979"," 35.76400"," 35.83887","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
