"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Palau","1.070431e+02","1.072781e+02","1.074870e+02","1.077220e+02","1.079310e+02","1.081399e+02","Source","renewable ressources","state of forest reccources","Oceania","100","%"
"2","Palau","82.61000","82.61000","77.55000","77.55000","77.55000","77.55000","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania","100","% Sus fish stock"
"3","Palau",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania","25","%"
"4","Palau"," 0.01"," 0.01"," 0.01"," 0.01"," 0.01"," 0.01","Source","non-renewables ressources","area with tolerable erosion","Oceania","2","Tonnes/hectare/year"
"5","Palau","70.3042763","67.2752261","70.2513473","71.9341940","73.9374342","74.2073859","Sink","global System","CO2 emissions [tonnes per capita]","Oceania","2.88","tonnes per year per capita"
"6","Palau","    0.11","    0.12","    0.10","    0.07","    0.01","    0.02","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"," 0.0000","0.5% compare to 2007 in CO2-eq tonnes"
"7","Palau",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania","100","%"
"8","Palau","84.20","84.29","84.18","76.38","76.87","83.04","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania","100","%"
"9","Palau"," 8.02"," 7.59"," 7.50"," 7.77"," 7.82"," 7.82","Human health and welfare","human health","Concentrations of PM2.5","Oceania","5","µg/m3"
"10","Palau"," 97.12813"," 97.21207"," 97.29228"," 97.35640"," 97.41769"," 97.47648","Human health and welfare","human health","Drinking water contamination","Oceania","100","% without E.coli"
"11","Palau","50.00000","50.00000","50.00000","50.00000","50.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Oceania","100","% Good status"
