"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Paraguay","6.919176e+01","6.853618e+01","6.698302e+01","6.587826e+01","6.477389e+01","6.366952e+01","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Paraguay","   1.84","   1.84","   1.84","   1.84","   1.84","   1.84","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"3","Paraguay","1.056676e+00","1.056676e+00","1.056676e+00","1.056676e+00","1.056676e+00","1.056676e+00","Source","renewable ressources","Groundwater stress","America","25","%"
"4","Paraguay"," 2.59"," 2.59"," 2.59"," 2.59"," 2.59"," 2.59","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"5","Paraguay"," 7.0114555"," 6.9832415"," 7.0718468"," 6.9637879"," 6.9444258"," 6.7919749","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"6","Paraguay","   15.99","   12.95","   12.74","   13.02","   14.59","   10.91","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.0735","0.5% compare to 2007 in CO2-eq tonnes"
"7","Paraguay",NA,NA,NA,NA,NA," 70.95","Sink","critical ecosystems","Proportion of surface water in good chemical status","America","100","%"
"8","Paraguay",NA,NA,NA,NA,NA,"  0.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","America","100","%"
"9","Paraguay","66.15065","65.92365","65.66906","65.42552","65.15654","64.89380","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"10","Paraguay","13.00","13.27","16.36","12.11","12.31","12.31","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
"11","Paraguay"," 62.23136"," 62.99559"," 63.75322"," 63.95579"," 64.01893"," 64.08422","Human health and welfare","human health","Drinking water contamination","America","100","% without E.coli"
