"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Peru","9.588782e+01","9.564651e+01","9.541660e+01","9.520856e+01","9.498219e+01","9.475581e+01","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Peru","85.71000","85.71000","83.87000","83.87000","83.87000","83.87000","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Peru","   5.63","   6.07","   6.51","   6.96","   7.18","   7.18","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Peru","1.297030e+00","1.399340e+00","1.501650e+00","1.603960e+00","4.257426e-01","4.257426e-01","Source","renewable ressources","Groundwater stress","America","25","%"
"5","Peru"," 6.74"," 6.74"," 6.74"," 6.74"," 6.74"," 6.74","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Peru"," 3.0257981"," 3.0960561"," 2.9605261"," 2.9244642"," 2.9512178"," 2.6458882","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Peru","   22.82","   22.21","   22.32","   19.84","   16.44","   12.32","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.1030","0.5% compare to 2007 in CO2-eq tonnes"
"8","Peru"," 36.80"," 36.80"," 36.80"," 36.80"," 36.80"," 24.60","Sink","critical ecosystems","Proportion of surface water in good chemical status","America","100","%"
"9","Peru","90.09293","90.01361","89.93611","89.86174","89.81119","89.75580","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"10","Peru","72.42","74.47","75.06","72.70","71.85","75.13","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"11","Peru","30.29","29.49","27.76","28.81","29.07","29.07","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
"12","Peru"," 49.89317"," 50.16703"," 50.43956"," 50.71341"," 50.98815"," 51.26413","Human health and welfare","human health","Drinking water contamination","America","100","% without E.coli"
"13","Peru","25.00000","25.00000","31.25000","31.25000","31.25000","31.25000","Human health and welfare","landscape and amenity","status of world heritage sites","America","100","% Good status"
