"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Philippines","9.071756e+01","9.116881e+01","9.162006e+01","9.207118e+01","9.252243e+01","9.297368e+01","Source","renewable ressources","state of forest reccources","Oceania","100","%"
"2","Philippines","82.61000","82.61000","77.55000","77.55000","77.55000","77.55000","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania","100","% Sus fish stock"
"3","Philippines","  26.41","  26.63","  28.06","  28.17","  26.25","  26.25","Source","renewable ressources","Surfacewater Stress","Oceania","25","% of stress"
"4","Philippines","2.494444e+00","2.588889e+00","2.244444e+00","2.261111e+00","2.366667e+00","2.366667e+00","Source","renewable ressources","Groundwater stress","Oceania","25","%"
"5","Philippines","15.60","15.60","15.60","15.60","15.60","15.60","Source","non-renewables ressources","area with tolerable erosion","Oceania","2","Tonnes/hectare/year"
"6","Philippines"," 2.0234867"," 2.1027734"," 2.2279308"," 2.2551292"," 2.2914572"," 2.1273501","Sink","global System","CO2 emissions [tonnes per capita]","Oceania","2.88","tonnes per year per capita"
"7","Philippines","  123.26","  115.40","  112.29","  105.91","  103.75","   50.62","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"," 0.9010","0.5% compare to 2007 in CO2-eq tonnes"
"8","Philippines","61.06385","60.91423","60.73436","60.53907","60.33482","60.08072","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania","100","%"
"9","Philippines","83.28","83.15","83.03","82.97","82.90","81.81","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania","100","%"
"10","Philippines","22.05","23.90","21.62","21.52","22.45","22.45","Human health and welfare","human health","Concentrations of PM2.5","Oceania","5","µg/m3"
"11","Philippines"," 46.34028"," 46.55685"," 46.77739"," 47.00241"," 47.23155"," 47.46477","Human health and welfare","human health","Drinking water contamination","Oceania","100","% without E.coli"
"12","Philippines","58.33333","58.33333","58.33333","58.33333","58.33333","58.33333","Human health and welfare","landscape and amenity","status of world heritage sites","Oceania","100","% Good status"
