"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Poland","1.058463e+02","1.060148e+02","1.061496e+02","1.062845e+02","1.064193e+02","1.065542e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Poland","73.47000","73.47000","79.31000","79.31000","79.31000","79.31000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Poland","  36.16","  35.61","  34.89","  33.22","  31.10","  30.00","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Poland","1.344000e+01","1.352000e+01","1.336000e+01","1.416000e+01","1.416000e+01","1.416000e+01","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Poland"," 0.28"," 0.28"," 0.28"," 0.28"," 0.28"," 0.28","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Poland","10.7662590","10.9990877","11.3657512","11.2653763","10.6585778","10.3494372","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Poland","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Poland"," 34.55"," 34.55"," 34.55"," 34.55"," 34.55"," 98.60","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","Poland"," 85.7"," 85.7"," 85.7"," 85.7"," 85.7"," 58.8","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"10","Poland","72.94869","72.91018","72.95260","72.97765","72.98619","72.93900","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"11","Poland","65.63","64.34","64.38","64.34","65.40","65.30","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"12","Poland","22.59","21.34","21.96","22.51","18.83","18.83","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"13","Poland"," 99.23207"," 99.42566"," 99.62004"," 99.81493"," 99.96659"," 99.96659","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"14","Poland","50.00000","50.00000","25.00000","25.00000","25.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
