"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Portugal","9.777988e+01","9.777988e+01","9.777988e+01","9.777988e+01","9.777988e+01","9.777988e+01","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Portugal","65.30500","65.30500","68.22500","68.22500","68.22500","68.22500","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Portugal","  17.30","  17.17","  12.38","  12.32","  12.32","  12.32","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Portugal","7.525000e+01","6.950000e+01","4.825000e+01","4.800000e+01","4.800000e+01","4.800000e+01","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Portugal"," 1.19"," 1.19"," 1.19"," 1.19"," 1.19"," 1.19","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Portugal"," 6.5979807"," 6.5298644"," 7.0633870"," 6.6864105"," 6.2383801"," 5.5355202","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Portugal","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Portugal","76.93847","76.91369","76.87064","76.83623","76.78084","76.73541","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"9","Portugal","73.68","71.86","72.23","72.12","72.90","72.55","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"10","Portugal"," 8.68"," 8.42"," 9.04"," 7.90"," 7.34"," 7.34","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"11","Portugal"," 98.36342"," 98.37340"," 98.38328"," 98.39303"," 98.40268"," 98.41220","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"12","Portugal","50.00000","50.00000","25.00000","25.00000","25.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
