"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Qatar",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Qatar","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Qatar"," 431.03"," 432.41"," 431.03"," 431.03"," 431.03"," 431.03","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Qatar","4.166667e+02","4.166667e+02","4.166667e+02","4.166667e+02","4.166667e+02","4.166667e+02","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Qatar"," 0.75"," 0.75"," 0.75"," 0.75"," 0.75"," 0.75","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Qatar","75.2296104","71.0546375","68.0990387","66.3129900","67.7569909","58.0866544","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Qatar","   65.89","   65.40","   68.54","   68.82","   69.52","   56.43","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.1175","0.5% compare to 2007 in CO2-eq tonnes"
"8","Qatar",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Qatar","83.52","80.74","81.25","81.04","81.94","82.96","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Qatar","65.91","61.30","63.11","62.66","59.04","59.04","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","Qatar"," 97.01763"," 96.79510"," 96.57276"," 96.41037"," 96.24798"," 96.24798","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
