"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Romania","1.083268e+02","1.087678e+02","1.087678e+02","1.087678e+02","1.087678e+02","1.087678e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Romania","37.84000","37.84000","37.50000","37.50000","37.50000","37.50000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Romania","   6.05","   5.97","   6.34","   6.01","   6.01","   6.01","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Romania","6.973995e+00","7.565012e+00","7.683215e+00","8.037825e+00","8.037825e+00","8.037825e+00","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Romania"," 1.23"," 1.23"," 1.23"," 1.23"," 1.23"," 1.23","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Romania"," 5.8778043"," 5.8590653"," 6.0840506"," 6.1544195"," 6.1121026"," 5.7356641","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Romania","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Romania"," 60.00"," 60.00"," 60.00"," 60.00"," 60.00"," 79.95","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","Romania"," 83.7"," 83.7"," 83.7"," 83.7"," 83.7"," 44.4","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"10","Romania","61.15106","61.15139","61.11287","61.07811","61.05196","61.00335","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"11","Romania","73.42","71.55","71.28","72.39","72.46","70.76","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"12","Romania","15.41","14.85","15.32","15.60","13.30","13.30","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"13","Romania"," 97.38758"," 97.38804"," 97.38930"," 97.39146"," 97.39447"," 97.39832","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"14","Romania","50.00000","50.00000","37.50000","37.50000","37.50000","37.50000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
