"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Russian Federation",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Russian Federation","64.66667","64.66667","60.73000","60.73000","60.73000","60.73000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Russian Federation","   3.97","   4.12","   4.10","   4.12","   4.12","   4.12","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Russian Federation","1.284264e+00","1.583756e+00","1.568528e+00","1.571066e+00","1.571066e+00","1.571066e+00","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Russian Federation"," 0.97"," 0.97"," 0.97"," 0.97"," 0.97"," 0.97","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Russian Federation","15.7329450","15.5710364","15.8874190","16.4958633","17.1383068","16.6679668","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Russian Federation","  381.13","  312.09","  279.01","  290.98","  286.69","    0.00","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 5.1415","0.5% compare to 2007 in CO2-eq tonnes"
"8","Russian Federation"," 91.65"," 91.65"," 91.65"," 91.65"," 91.65"," 91.65","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia","100","%"
"9","Russian Federation","88.24070","88.24325","88.25657","88.25979","88.25704","88.25364","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"10","Russian Federation","73.09","71.83","73.40","73.44","73.50","73.61","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"11","Russian Federation"," 9.49"," 8.71"," 8.38"," 9.22"," 8.88"," 8.88","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"12","Russian Federation"," 93.64644"," 93.47608"," 93.30554"," 93.13464"," 92.96327"," 92.79133","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
"13","Russian Federation","40.00000","40.00000","43.18182","43.18182","43.18182","43.18182","Human health and welfare","landscape and amenity","status of world heritage sites","Asia","100","% Good status"
