"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Rwanda","8.598726e+01","8.662420e+01","8.694268e+01","8.726115e+01","8.757962e+01","8.789809e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Rwanda","  16.57","  17.40","  18.22","  19.04","  20.20","  20.20","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"3","Rwanda","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.714286e+00","1.714286e+00","Source","renewable ressources","Groundwater stress","Africa","25","%"
"4","Rwanda","45.23","45.23","45.23","45.23","45.23","45.23","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"5","Rwanda"," 0.5778302"," 0.5631379"," 0.5607104"," 0.5605728"," 0.5625120"," 0.5468574","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"6","Rwanda","    3.61","    2.76","    2.46","    2.10","    1.89","    1.71","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0165","0.5% compare to 2007 in CO2-eq tonnes"
"7","Rwanda"," 18.75"," 18.75"," 18.75"," 18.75"," 18.75"," 70.85","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"8","Rwanda",NA,NA,NA,NA,NA,"100.0","Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa","100","%"
"9","Rwanda","51.21242","51.44248","51.68245","51.79961","51.92800","51.73962","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"10","Rwanda","34.69","34.97","34.71","34.92","35.66","35.66","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"11","Rwanda"," 40.74252"," 41.15873"," 41.58415"," 42.01879"," 42.46210"," 42.52647","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
