"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Saint Kitts and Nevis","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Saint Kitts and Nevis","60.34000","60.34000","61.40000","61.40000","61.40000","61.40000","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Saint Kitts and Nevis","  50.83","  50.83","  50.83","  50.83","  50.83","  50.83","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Saint Kitts and Nevis","5.000000e+01","5.000000e+01","5.000000e+01","5.000000e+01","5.000000e+01","5.000000e+01","Source","renewable ressources","Groundwater stress","America","25","%"
"5","Saint Kitts and Nevis","10.58","10.58","10.58","10.58","10.58","10.58","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Saint Kitts and Nevis","11.6603056","12.0081457"," 7.2567624"," 7.7427854"," 7.6690006"," 6.5189391","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Saint Kitts and Nevis","    0.36","    0.26","    0.21","    0.11","    0.04","    0.03","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.0025","0.5% compare to 2007 in CO2-eq tonnes"
"8","Saint Kitts and Nevis","97.47781","97.54544","97.61080","97.67289","97.73260","97.76952","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"9","Saint Kitts and Nevis","89.18","88.81","88.67","88.53","88.39","88.25","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"10","Saint Kitts and Nevis"," 8.59"," 8.66"," 8.97"," 8.59"," 8.05"," 8.05","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
