"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Saint Lucia","9.776878e+01","9.776878e+01","9.776878e+01","9.776878e+01","9.776878e+01","9.776878e+01","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Saint Lucia","60.34000","60.34000","61.40000","61.40000","61.40000","61.40000","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Saint Lucia","  14.30","  14.30","  14.30","  14.30","  14.30","  14.30","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Saint Lucia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America","25","%"
"5","Saint Lucia"," 2.77"," 2.77"," 2.77"," 2.77"," 2.77"," 2.77","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Saint Lucia"," 5.1777111"," 5.2247279"," 4.0740258"," 3.9993699"," 5.3580133"," 4.5835020","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Saint Lucia","    0.47","    0.65","    0.64","    0.62","    0.31","    0.03","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.0000","0.5% compare to 2007 in CO2-eq tonnes"
"8","Saint Lucia",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"9","Saint Lucia","87.40","87.19","84.75","86.60","86.70","86.81","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"10","Saint Lucia"," 9.62"," 9.56","10.03"," 9.51"," 8.98"," 8.98","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
"11","Saint Lucia","25.00000","25.00000","25.00000","25.00000","25.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","America","100","% Good status"
