"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Saint Vincent and the Grenadines","1.032562e+02","1.032562e+02","1.032562e+02","1.032562e+02","1.032562e+02","1.032562e+02","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Saint Vincent and the Grenadines","60.34000","60.34000","61.40000","61.40000","61.40000","61.40000","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Saint Vincent and the Grenadines","   7.90","   7.90","   7.90","   7.90","   7.90","   7.90","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America","25","%"
"5","Saint Vincent and the Grenadines"," 5.23"," 5.23"," 5.23"," 5.23"," 5.23"," 5.23","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Saint Vincent and the Grenadines"," 5.2277918"," 5.3397150"," 3.6386698"," 3.5224615"," 3.1270941"," 2.7101405","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Saint Vincent and the Grenadines","    0.04","    0.03","    0.03","    0.02","    0.02","    0.01","Sink","global System","Consumption of HCFC in ODP per capita","America"," 0.0000","0.5% compare to 2007 in CO2-eq tonnes"
"8","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"9","Saint Vincent and the Grenadines","87.36","87.09","86.92","86.75","86.57","86.40","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"10","Saint Vincent and the Grenadines","10.09","10.05","10.50"," 9.94"," 9.41"," 9.41","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
