"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Saudi Arabia","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Saudi Arabia","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Saudi Arabia"," 948.88"," 929.58"," 955.96"," 974.17"," 974.17"," 974.17","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Saudi Arabia","1.029545e+03","9.813636e+02","1.017273e+03","1.020909e+03","1.020909e+03","1.020909e+03","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Saudi Arabia"," 2.34"," 2.34"," 2.34"," 2.34"," 2.34"," 2.34","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Saudi Arabia","23.3622090","23.0684373","22.3064060","21.2777856","20.9851266","21.1303219","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Saudi Arabia"," 1305.45"," 1078.08"," 1060.21","  953.15","  953.15","  880.50","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 4.4840","0.5% compare to 2007 in CO2-eq tonnes"
"8","Saudi Arabia","69.24224","69.25967","69.27359","69.29308","69.30119","69.31880","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Saudi Arabia","83.33","80.43","77.09","74.39","73.75","73.53","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Saudi Arabia","58.48","55.76","58.47","58.30","57.16","57.16","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
