"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Senegal","8.930673e+01","8.887468e+01","8.844263e+01","8.801058e+01","8.757853e+01","8.714647e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Senegal","57.14000","57.14000","57.14000","57.14000","57.14000","57.14000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Senegal","  12.99","  13.08","  13.16","  16.09","  16.28","  16.28","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Senegal","0.000000e+00","0.000000e+00","4.857143e+00","5.142857e+00","6.000000e+00","6.000000e+00","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Senegal"," 1.19"," 1.19"," 1.19"," 1.19"," 1.19"," 1.19","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Senegal"," 1.6813751"," 1.7310477"," 1.6789979"," 1.6843019"," 1.7257481"," 1.7035087","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Senegal","   20.63","   18.70","   17.60","   15.13","   14.25","   13.20","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.1580","0.5% compare to 2007 in CO2-eq tonnes"
"8","Senegal","  0.00","  0.00","  0.00","  0.00","  0.00"," 66.70","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"9","Senegal"," 66.7"," 66.7"," 66.7"," 66.7"," 66.7"," 33.3","Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa","100","%"
"10","Senegal","83.47595","83.31318","83.24295","83.11915","82.94467","82.65593","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"11","Senegal","71.41","68.11","67.20","67.47","67.26","66.99","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"12","Senegal","39.90","38.67","39.89","39.08","38.21","38.21","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"13","Senegal","12.50000","12.50000","12.50000","12.50000","12.50000","12.50000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
