"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Serbia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Serbia","   5.28","   5.30","   6.06","   6.26","   6.33","   6.00","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"3","Serbia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Europe","25","%"
"4","Serbia"," 1.67"," 1.67"," 1.67"," 1.67"," 1.67"," 1.67","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"5","Serbia","10.0661916","10.3783567","10.3894489","10.2270817","10.3203257","10.3659905","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"6","Serbia","    6.92","    6.40","    6.66","    6.61","    6.37","    5.26","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 0.0460","0.5% compare to 2007 in CO2-eq tonnes"
"7","Serbia",NA,NA,NA,NA,NA," 88.55","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"8","Serbia",NA,NA,NA,NA,NA," 88.5","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"9","Serbia","59.54571","59.54705","59.54100","59.59408","59.67547","59.79092","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"10","Serbia","25.33","24.25","24.95","25.86","21.74","21.74","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"11","Serbia"," 74.89915"," 74.92168"," 74.94687"," 74.97473"," 75.00524"," 75.03842","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
