"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Seychelles","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Seychelles","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Seychelles",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"4","Seychelles","15.00","15.00","15.00","15.00","15.00","15.00","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"5","Seychelles","11.0540908","11.8181904","12.5352236","11.0343573","11.1217102","11.2075265","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"6","Seychelles","    0.33","    0.34","    0.33","    0.07","    0.00","    0.00","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0115","0.5% compare to 2007 in CO2-eq tonnes"
"7","Seychelles",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"8","Seychelles","83.47","83.78","83.70","83.61","80.20","78.52","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"9","Seychelles","16.51","18.15","16.37","16.48","16.96","16.96","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"10","Seychelles","50.00000","50.00000","50.00000","50.00000","50.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
