"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Sierra Leone","8.476192e+01","8.412690e+01","8.349187e+01","8.285685e+01","8.222183e+01","8.158680e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Sierra Leone","57.14000","57.14000","57.14000","57.14000","57.14000","57.14000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Sierra Leone","   0.50","   0.50","   0.50","   0.50","   0.50","   0.50","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Sierra Leone",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Sierra Leone"," 6.65"," 6.65"," 6.65"," 6.65"," 6.65"," 6.65","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Sierra Leone"," 0.8779805"," 0.9076880"," 0.8993174"," 0.9942900"," 0.8264556"," 0.8122371","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Sierra Leone","    0.99","    0.61","    0.57","    0.57","    0.56","    0.56","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0075","0.5% compare to 2007 in CO2-eq tonnes"
"8","Sierra Leone",NA,NA,NA,NA,NA," 41.70","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"9","Sierra Leone","52.18613","51.76523","51.36913","51.04243","50.66566","50.36876","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"10","Sierra Leone","80.75","76.58","76.69","77.40","78.72","81.92","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"11","Sierra Leone","42.53","40.62","40.25","39.46","39.42","39.42","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"12","Sierra Leone","  9.68040","  9.88096"," 10.08071"," 10.27969"," 10.47781"," 10.67503","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
