"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Singapore","1.094765e+02","1.082409e+02","1.070745e+02","1.058781e+02","1.046818e+02","1.034854e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Singapore","73.08000","73.08000","68.63000","68.63000","68.63000","68.63000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Singapore","  84.58","  84.97","  83.22","  81.38","  82.17","  83.12","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Singapore",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Singapore"," 8.18"," 8.18"," 8.18"," 8.18"," 8.18"," 8.18","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Singapore","12.0728296","11.7786808","12.8321947","12.5054330","12.5243390","12.5349966","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Singapore","   74.46","   90.77","   60.92","   93.46","   58.02","   76.11","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.7590","0.5% compare to 2007 in CO2-eq tonnes"
"8","Singapore","100.00","100.00","100.00","100.00","100.00","100.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia","100","%"
"9","Singapore","34.44202","34.34359","34.24670","34.15069","34.04597","33.92604","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"10","Singapore","75.17","78.50","75.02","74.60","72.94","72.97","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"11","Singapore","16.16","15.48","14.23","13.12","13.33","13.33","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"12","Singapore","100.00000","100.00000","100.00000","100.00000","100.00000","100.00000","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
