"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Solomon Islands","9.930984e+01","9.928114e+01","9.925245e+01","9.922376e+01","9.919506e+01","9.916637e+01","Source","renewable ressources","state of forest reccources","Oceania","100","%"
"2","Solomon Islands","82.61000","82.61000","77.55000","77.55000","77.55000","77.55000","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania","100","% Sus fish stock"
"3","Solomon Islands",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania","25","%"
"4","Solomon Islands"," 1.18"," 1.18"," 1.18"," 1.18"," 1.18"," 1.18","Source","non-renewables ressources","area with tolerable erosion","Oceania","2","Tonnes/hectare/year"
"5","Solomon Islands"," 0.8947495"," 0.8493575"," 0.8342002"," 0.8418586"," 0.8350913"," 0.8254939","Sink","global System","CO2 emissions [tonnes per capita]","Oceania","2.88","tonnes per year per capita"
"6","Solomon Islands","    0.07","    0.12","    0.23","    0.20","    0.08","    0.08","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"," 0.0045","0.5% compare to 2007 in CO2-eq tonnes"
"7","Solomon Islands","95.78660","95.75957","95.73678","95.71478","95.69443","95.67574","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania","100","%"
"8","Solomon Islands","82.44","82.20","82.01","81.94","81.86","81.68","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania","100","%"
"9","Solomon Islands"," 7.86"," 7.76"," 7.80"," 7.95"," 7.83"," 7.83","Human health and welfare","human health","Concentrations of PM2.5","Oceania","5","µg/m3"
"10","Solomon Islands"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Oceania","100","% Good status"
