"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Somalia","7.755233e+01","7.661701e+01","7.568169e+01","7.474637e+01","7.381105e+01","7.287573e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Somalia","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Somalia","  24.53","  24.53","  24.53","  24.53","  24.53","  24.53","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Somalia","3.939394e+00","3.939394e+00","3.939394e+00","3.939394e+00","3.939394e+00","3.939394e+00","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Somalia"," 1.60"," 1.60"," 1.60"," 1.60"," 1.60"," 1.60","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Somalia"," 2.1885966"," 2.1232218"," 2.0531964"," 1.9989707"," 1.9299972"," 1.8696275","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Somalia","   15.92","   15.45","   15.40","   15.26","   13.04","   10.55","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0215","0.5% compare to 2007 in CO2-eq tonnes"
"8","Somalia","72.31209","72.26425","72.25435","72.29719","72.29773","72.35915","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Somalia","76.44","78.54","71.34","78.35","76.25","76.91","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Somalia","14.22","14.40","14.50","14.45","14.28","14.28","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
