"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","South Africa","9.517505e+01","9.497401e+01","9.477297e+01","9.457193e+01","9.437089e+01","9.416984e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","South Africa","67.16000","67.16000","67.97000","67.97000","67.97000","67.97000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","South Africa","  59.75","  61.00","  62.06","  62.89","  64.04","  65.03","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","South Africa","5.062500e+01","5.250000e+01","5.458333e+01","5.791667e+01","6.354167e+01","6.020833e+01","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","South Africa"," 3.37"," 3.37"," 3.37"," 3.37"," 3.37"," 3.37","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","South Africa","10.3539100","10.2331474","10.4159970","10.2628043","10.2049223"," 9.1249069","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","South Africa","  208.28","  144.15","  122.16","  113.42","  111.53","   96.78","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 1.7750","0.5% compare to 2007 in CO2-eq tonnes"
"8","South Africa"," 49.80"," 49.80"," 49.80"," 49.80"," 49.80"," 47.90","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"9","South Africa",NA,NA,NA,NA,NA," 74.2","Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa","100","%"
"10","South Africa","61.69604","61.99183","62.31146","62.53650","62.74939","62.71774","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"11","South Africa","71.76","69.68","69.90","70.05","70.57","71.43","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"12","South Africa","19.14","19.07","19.38","19.52","19.75","19.75","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"13","South Africa","43.75000","43.75000","43.75000","43.75000","43.75000","40.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
