"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Spain","1.304256e+02","1.304537e+02","1.304826e+02","1.305128e+02","1.305430e+02","1.305733e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Spain","56.15000","56.15000","57.98333","57.98333","57.98333","57.98333","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Spain","  42.96","  42.56","  41.03","  40.09","  39.83","  43.25","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Spain","2.117057e+01","2.137124e+01","2.056856e+01","1.976589e+01","2.060201e+01","2.143813e+01","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Spain"," 2.17"," 2.17"," 2.17"," 2.17"," 2.17"," 2.17","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Spain"," 7.5672204"," 7.3750815"," 7.6769246"," 7.4807838"," 7.0465334"," 6.0570358","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Spain","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Spain","70.29709","70.27175","70.22551","70.20702","70.17829","70.10472","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"9","Spain","70.14","67.51","69.62","69.36","69.10","68.83","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"10","Spain","11.11","10.04","10.21","10.08"," 9.34"," 9.34","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"11","Spain"," 99.57406"," 99.57668"," 99.57931"," 99.58196"," 99.58464"," 99.58733","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"12","Spain","40.00000","40.00000","35.00000","35.00000","35.00000","35.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
