"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Sri Lanka","9.128969e+01","9.115419e+01","9.101868e+01","9.088317e+01","9.074766e+01","9.061215e+01","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Sri Lanka","73.08000","73.08000","68.63000","68.63000","68.63000","68.63000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Sri Lanka","  90.79","  90.79","  90.79","  90.79","  90.79","  90.79","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Sri Lanka",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Sri Lanka"," 3.78"," 3.78"," 3.78"," 3.78"," 3.78"," 3.78","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Sri Lanka"," 2.0467533"," 2.0258981"," 1.9471528"," 1.9564031"," 2.0345578"," 2.0176385","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Sri Lanka","   10.31","   12.73","    9.04","    9.84","    9.91","    8.57","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.0770","0.5% compare to 2007 in CO2-eq tonnes"
"8","Sri Lanka","65.60329","65.27604","64.93502","64.61983","64.28352","63.93677","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Sri Lanka","88.21","86.74","83.63","87.33","83.25","81.51","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Sri Lanka","23.08","25.46","22.99","23.12","23.88","23.88","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","Sri Lanka","37.50000","37.50000","37.50000","37.50000","37.50000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Asia","100","% Good status"
