"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Sudan","6.287424e+01","6.234499e+01","6.178138e+01","6.121809e+01","6.065448e+01","6.009087e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Sudan","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Sudan"," 118.66"," 118.66"," 118.66"," 118.66"," 118.66"," 118.66","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Sudan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Sudan"," 1.82"," 1.82"," 1.82"," 1.82"," 1.82"," 1.82","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Sudan"," 3.4041516"," 3.4048251"," 3.2867246"," 3.2244533"," 3.1895854"," 3.0673853","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Sudan","   46.79","   42.07","   36.61","   36.63","   30.32","   10.59","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.2180","0.5% compare to 2007 in CO2-eq tonnes"
"8","Sudan"," 85.00"," 85.00"," 85.00"," 85.00"," 85.00",NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"9","Sudan"," 90.0"," 90.0"," 90.0"," 90.0"," 90.0",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa","100","%"
"10","Sudan","69.58958","69.52451","69.45961","69.41400","69.36167","69.30676","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"11","Sudan","86.74","86.74","83.20","85.74","86.39","83.95","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"12","Sudan","22.55","22.41","22.73","21.89","21.43","21.43","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"13","Sudan",NA,NA,"50.00000","50.00000","50.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
