"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Sweden","9.966872e+01","9.966872e+01","9.966872e+01","9.966872e+01","9.966872e+01","9.966872e+01","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Sweden","73.47000","73.47000","79.31000","79.31000","79.31000","79.31000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Sweden","   3.43","   3.46","   3.49","   3.52","   3.55","   3.58","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Sweden","1.850000e+00","1.850000e+00","1.900000e+00","1.900000e+00","1.950000e+00","1.950000e+00","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Sweden"," 0.20"," 0.20"," 0.20"," 0.20"," 0.20"," 0.20","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Sweden"," 6.9802589"," 6.8697812"," 6.7521043"," 6.3887612"," 6.2860817"," 5.9166273","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Sweden","  -53.48","  -37.31","  -26.70","  -40.28","  -25.00","  -28.45","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 5.4370","0.5% compare to 2007 in CO2-eq tonnes"
"8","Sweden"," 40.35"," 40.35"," 40.35"," 40.35"," 40.35"," 43.80","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"9","Sweden"," 97.7"," 97.7"," 97.7"," 97.7"," 97.7"," 97.6","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe","100","%"
"10","Sweden","95.14353","95.20388","95.25222","95.27318","95.28667","95.25222","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"11","Sweden","74.13","73.51","72.12","71.16","70.67","71.07","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"12","Sweden"," 6.37"," 5.88"," 5.93"," 6.09"," 5.96"," 5.96","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"13","Sweden"," 99.71589"," 99.73518"," 99.75402"," 99.75113"," 99.75147"," 99.75180","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"14","Sweden","75.00000","75.00000","75.00000","75.00000","75.00000","75.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
