"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Switzerland","1.081313e+02","1.084285e+02","1.087256e+02","1.090227e+02","1.093198e+02","1.096170e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Switzerland","   6.51","   6.50","   6.50","   6.50","   6.50","   6.50","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"3","Switzerland","3.440000e+01","3.400000e+01","3.400000e+01","3.400000e+01","3.400000e+01","3.400000e+01","Source","renewable ressources","Groundwater stress","Europe","25","%"
"4","Switzerland"," 5.66"," 5.66"," 5.66"," 5.66"," 5.66"," 5.66","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"5","Switzerland","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 0.0455","0.5% compare to 2007 in CO2-eq tonnes"
"6","Switzerland","100.00","100.00","100.00","100.00","100.00"," 68.20","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe","100","%"
"7","Switzerland","64.27169","64.10882","63.94687","63.77595","63.60400","63.53323","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"8","Switzerland","10.82"," 9.99"," 9.89","10.01"," 8.97"," 8.97","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"9","Switzerland"," 98.20000"," 98.20000"," 98.20000"," 98.20000"," 98.20000"," 98.20000","Human health and welfare","human health","Drinking water contamination","Europe","100","% without E.coli"
"10","Switzerland","75.00000","75.00000","66.66667","66.66667","66.66667","66.66667","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
