"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Tajikistan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Tajikistan","  68.74","  57.72","  52.70","  64.48","  69.94","  69.94","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"3","Tajikistan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia","25","%"
"4","Tajikistan","17.89","17.89","17.89","17.89","17.89","17.89","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"5","Tajikistan"," 1.8043685"," 1.9750033"," 2.0927879"," 2.2002815"," 2.2716472"," 2.2050302","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"6","Tajikistan","    1.66","    1.50","    1.10","    0.68","    0.33","    0.09","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.0190","0.5% compare to 2007 in CO2-eq tonnes"
"7","Tajikistan","77.81112","77.90636","78.02781","78.15538","78.25818","78.20752","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"8","Tajikistan","63.28","62.73","59.39","58.58","53.65","53.65","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"9","Tajikistan"," 69.10611"," 70.21659"," 71.32798"," 72.43924"," 73.54983"," 73.57835","Human health and welfare","human health","Drinking water contamination","Asia","100","% without E.coli"
"10","Tajikistan","50.00000","50.00000","50.00000","50.00000","50.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Asia","100","% Good status"
