"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Tanzania","8.434177e+00","8.351922e+01","8.269668e+01","8.187413e+01","8.105158e+01","8.022904e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Tanzania","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Tanzania","  12.96","  12.96","  12.96","  12.96","  12.96","  12.96","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Tanzania",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Tanzania"," 5.97"," 5.97"," 5.97"," 5.97"," 5.97"," 5.97","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Tanzania"," 1.4285037"," 1.3865484"," 1.3599757"," 1.3477374"," 1.3486082"," 1.3433700","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Tanzania","    1.18","    1.15","    1.15","    1.14","    1.14","    1.03","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0385","0.5% compare to 2007 in CO2-eq tonnes"
"8","Tanzania","  0.00","  0.00","  0.00","  0.00","  0.00"," 83.50","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"9","Tanzania","77.42935","77.19045","77.01132","76.89955","76.80091","76.64961","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"10","Tanzania","81.86","81.69","81.52","81.56","81.49","76.48","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"11","Tanzania","15.59","15.60","15.20","15.41","15.36","15.36","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"12","Tanzania","31.25000","31.25000","37.50000","37.50000","37.50000","31.25000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
