"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Thailand","1.038101e+02","1.035825e+02","1.033962e+02","1.032099e+02","1.030236e+02","1.028373e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Thailand","77.84500","77.84500","73.09000","73.09000","73.09000","73.09000","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Thailand","  23.01","  23.01","  23.01","  23.01","  23.01","  23.01","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Thailand","2.346062e+01","2.346062e+01","2.346062e+01","2.346062e+01","2.346062e+01","2.346062e+01","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Thailand"," 7.46"," 7.46"," 7.46"," 7.46"," 7.46"," 7.46","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Thailand"," 6.3142578"," 6.3037429"," 6.2575247"," 6.1990622"," 6.3082952"," 6.1620479","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Thailand","  773.50","  589.10","  404.59","  356.86","  364.34","  355.60","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 4.3650","0.5% compare to 2007 in CO2-eq tonnes"
"8","Thailand",NA,NA,NA,NA,NA," 36.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia","100","%"
"9","Thailand","64.84953","64.75788","64.67111","64.58698","64.50436","64.40749","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"10","Thailand","88.42","81.76","78.50","77.56","77.39","78.10","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"11","Thailand","24.10","26.42","23.54","23.68","24.64","24.64","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"12","Thailand","25.00000","25.00000","37.50000","37.50000","37.50000","37.50000","Human health and welfare","landscape and amenity","status of world heritage sites","Asia","100","% Good status"
