"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Tonga","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Tonga","84.64000","84.64000","82.11000","82.11000","82.11000","82.11000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Tonga",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"4","Tonga","10.40","10.40","10.40","10.40","10.40","10.40","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"5","Tonga"," 2.2397523"," 2.2838058"," 2.5332113"," 2.3488935"," 2.6135711"," 2.6181555","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"6","Tonga","    0.00","    0.00","    0.01","    0.00","    0.00","    0.00","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0005","0.5% compare to 2007 in CO2-eq tonnes"
"7","Tonga",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"8","Tonga","87.06","86.74","87.03","86.90","86.77","86.26","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"9","Tonga"," 7.26"," 7.40"," 7.38"," 7.47"," 7.52"," 7.52","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"10","Tonga"," 29.47526"," 29.47623"," 29.47714"," 29.48214"," 29.49097"," 29.50420","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
