"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Turkiye","1.091339e+02","1.091339e+02","1.097504e+02","1.105370e+02","1.113241e+02","1.121112e+02","Source","renewable ressources","state of forest reccources","Europe","100","%"
"2","Turkiye","37.84000","37.84000","37.50000","37.50000","37.50000","37.50000","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe","100","% Sus fish stock"
"3","Turkiye","  39.89","  44.28","  43.67","  45.38","  45.71","  45.71","Source","renewable ressources","Surfacewater Stress","Europe","25","% of stress"
"4","Turkiye","2.153392e+01","2.221239e+01","2.280236e+01","2.386431e+01","2.451327e+01","2.451327e+01","Source","renewable ressources","Groundwater stress","Europe","25","%"
"5","Turkiye"," 3.01"," 3.01"," 3.01"," 3.01"," 3.01"," 3.01","Source","non-renewables ressources","area with tolerable erosion","Europe","2","Tonnes/hectare/year"
"6","Turkiye"," 6.5082346"," 6.7413776"," 7.2093578"," 7.1562473"," 7.0110603"," 6.9596421","Sink","global System","CO2 emissions [tonnes per capita]","Europe","2.88","tonnes per year per capita"
"7","Turkiye","   17.95","   26.95","   18.33","   10.57","    8.54","    1.82","Sink","global System","Consumption of HCFC in ODP per capita","Europe"," 4.6145","0.5% compare to 2007 in CO2-eq tonnes"
"8","Turkiye","77.27447","77.04626","76.82384","76.58305","76.35825","76.08864","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe","100","%"
"9","Turkiye","70.31","68.18","68.44","68.35","68.34","69.61","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe","100","%"
"10","Turkiye","22.96","22.53","22.89","23.29","23.25","23.25","Human health and welfare","human health","Concentrations of PM2.5","Europe","5","µg/m3"
"11","Turkiye","50.00000","50.00000","50.00000","50.00000","50.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Europe","100","% Good status"
