"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Uganda","7.198650e+01","7.081934e+01","6.965218e+01","6.848502e+01","6.731758e+01","6.615042e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Uganda","   5.83","   5.83","   5.83","   5.83","   5.83","   5.83","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"3","Uganda",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa","25","%"
"4","Uganda"," 9.73"," 9.73"," 9.73"," 9.73"," 9.73"," 9.73","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"5","Uganda"," 1.1740534"," 1.1864443"," 1.1953631"," 1.1929693"," 1.2023042"," 1.1726922","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"6","Uganda","    0.00","    0.00","    0.00","    0.08","    0.07","    0.06","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0000","0.5% compare to 2007 in CO2-eq tonnes"
"7","Uganda","100.00","100.00","100.00","100.00","100.00","  0.00","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"8","Uganda","56.46881","56.64579","56.88615","57.03253","57.15519","57.02345","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Uganda","31.65","32.08","31.28","31.73","31.31","31.31","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"10","Uganda"," 46.81761"," 49.89526"," 53.01560"," 56.05890"," 59.13529"," 62.24096","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
"11","Uganda","50.00000","50.00000","50.00000","50.00000","50.00000","50.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
