"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Venezuela","9.022875e+01","8.995873e+01","8.973627e+01","8.956155e+01","8.943437e+01","8.935493e+01","Source","renewable ressources","state of forest reccources","America","100","%"
"2","Venezuela","60.34000","60.34000","61.40000","61.40000","61.40000","61.40000","Source","renewable ressources","Proportion of fish stocks not overexploited","America","100","% Sus fish stock"
"3","Venezuela","   7.54","   7.54","   7.54","   7.54","   7.54","   7.54","Source","renewable ressources","Surfacewater Stress","America","25","% of stress"
"4","Venezuela",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America","25","%"
"5","Venezuela"," 1.65"," 1.65"," 1.65"," 1.65"," 1.65"," 1.65","Source","non-renewables ressources","area with tolerable erosion","America","2","Tonnes/hectare/year"
"6","Venezuela"," 8.5921348"," 8.0396241"," 7.6149718"," 7.2991367"," 6.6709438"," 6.0592573","Sink","global System","CO2 emissions [tonnes per capita]","America","2.88","tonnes per year per capita"
"7","Venezuela","   45.72","   26.59","   17.10","    1.88","    0.04","    0.00","Sink","global System","Consumption of HCFC in ODP per capita","America"," 1.3020","0.5% compare to 2007 in CO2-eq tonnes"
"8","Venezuela","86.29155","86.23428","86.16757","86.09413","86.02176","85.92521","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America","100","%"
"9","Venezuela","85.42","85.26","85.11","84.69","77.29","76.82","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America","100","%"
"10","Venezuela","20.12","19.65","18.71","17.06","16.21","16.21","Human health and welfare","human health","Concentrations of PM2.5","America","5","µg/m3"
"11","Venezuela","25.00000","25.00000","25.00000","25.00000","25.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","America","100","% Good status"
