"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Viet Nam","1.462226e+02","1.495065e+02","1.498985e+02","1.506877e+02","1.514770e+02","1.522662e+02","Source","renewable ressources","state of forest reccources","Asia","100","%"
"2","Viet Nam","82.65000","82.65000","71.46500","71.46500","71.46500","71.46500","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia","100","% Sus fish stock"
"3","Viet Nam","  18.13","  18.13","  18.13","  18.13","  18.13","  18.13","Source","renewable ressources","Surfacewater Stress","Asia","25","% of stress"
"4","Viet Nam","1.960235e+00","1.960235e+00","1.960235e+00","1.960235e+00","1.960235e+00","1.960235e+00","Source","renewable ressources","Groundwater stress","Asia","25","%"
"5","Viet Nam","21.64","21.64","21.64","21.64","21.64","21.64","Source","non-renewables ressources","area with tolerable erosion","Asia","2","Tonnes/hectare/year"
"6","Viet Nam"," 4.0656467"," 4.0377785"," 4.0576444"," 4.5923099"," 5.0924826"," 4.9394262","Sink","global System","CO2 emissions [tonnes per capita]","Asia","2.88","tonnes per year per capita"
"7","Viet Nam","  192.70","  195.75","  197.38","  195.60","  197.55","  142.18","Sink","global System","Consumption of HCFC in ODP per capita","Asia"," 0.8400","0.5% compare to 2007 in CO2-eq tonnes"
"8","Viet Nam","69.48066","69.27938","69.06698","68.85207","68.64461","68.42803","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia","100","%"
"9","Viet Nam","80.13","78.69","76.46","75.92","74.69","74.41","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia","100","%"
"10","Viet Nam","20.47","22.37","20.10","20.09","20.89","20.89","Human health and welfare","human health","Concentrations of PM2.5","Asia","5","µg/m3"
"11","Viet Nam","41.66667","41.66667","41.66667","41.66667","41.66667","41.66667","Human health and welfare","landscape and amenity","status of world heritage sites","Asia","100","% Good status"
