"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Yemen","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","1.000000e+02","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Yemen","66.67000","66.67000","68.29000","68.29000","68.29000","68.29000","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa","100","% Sus fish stock"
"3","Yemen"," 169.76"," 169.76"," 169.76"," 169.76"," 169.76"," 169.76","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"4","Yemen","1.686667e+02","1.686667e+02","1.686667e+02","1.686667e+02","1.686667e+02","1.686667e+02","Source","renewable ressources","Groundwater stress","Africa","25","%"
"5","Yemen","13.31","13.31","13.31","13.31","13.31","13.31","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"6","Yemen"," 1.2122827"," 1.0374168"," 1.0179208"," 0.9957745"," 1.0690703"," 1.0482959","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"7","Yemen","  100.03","   92.29","   94.39","   95.56","   97.88","   99.11","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.6120","0.5% compare to 2007 in CO2-eq tonnes"
"8","Yemen","75.57719","75.60977","75.67551","75.74139","75.80538","75.87730","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Yemen","88.06","88.60","87.29","87.31","86.36","84.64","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa","100","%"
"10","Yemen","41.06","39.91","41.32","41.62","41.61","41.61","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"11","Yemen","25.00000","25.00000","25.00000","25.00000","25.00000","25.00000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
