"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1","Zimbabwe","9.411249e+01","9.386756e+01","9.362209e+01","9.337663e+01","9.313169e+01","9.288623e+01","Source","renewable ressources","state of forest reccources","Africa","100","%"
"2","Zimbabwe","  31.87","  31.94","  31.35","  35.41","  35.41","  35.41","Source","renewable ressources","Surfacewater Stress","Africa","25","% of stress"
"3","Zimbabwe","1.583333e+01","1.583333e+01","1.566667e+01","1.766667e+01","1.766667e+01","1.766667e+01","Source","renewable ressources","Groundwater stress","Africa","25","%"
"4","Zimbabwe"," 4.70"," 4.70"," 4.70"," 4.70"," 4.70"," 4.70","Source","non-renewables ressources","area with tolerable erosion","Africa","2","Tonnes/hectare/year"
"5","Zimbabwe"," 2.2240687"," 2.0564877"," 1.9792617"," 2.1116858"," 2.0436986"," 1.9917227","Sink","global System","CO2 emissions [tonnes per capita]","Africa","2.88","tonnes per year per capita"
"6","Zimbabwe","   14.16","    9.49","   10.65","   10.07","    9.85","    6.28","Sink","global System","Consumption of HCFC in ODP per capita","Africa"," 0.0820","0.5% compare to 2007 in CO2-eq tonnes"
"7","Zimbabwe"," 76.50"," 76.50"," 76.50"," 76.50"," 76.50"," 83.30","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa","100","%"
"8","Zimbabwe","86.22288","85.98565","85.77235","85.59178","85.41508","85.23034","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa","100","%"
"9","Zimbabwe","13.27","13.09","13.15","13.12","13.08","13.08","Human health and welfare","human health","Concentrations of PM2.5","Africa","5","µg/m3"
"10","Zimbabwe"," 41.16181"," 41.08512"," 41.02045"," 40.96830"," 40.92791"," 40.90016","Human health and welfare","human health","Drinking water contamination","Africa","100","% without E.coli"
"11","Zimbabwe","37.50000","37.50000","37.50000","37.50000","37.50000","37.50000","Human health and welfare","landscape and amenity","status of world heritage sites","Africa","100","% Good status"
